name,url,image,startDate,endDate,description,description_fr,location,city,region,page,region_abbr
Pleasantville Music Festival 2025,https://www.musicfestivalwizard.com/festivals/pleasantville-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/01/Pleasantville-Music-Festival.jpg,2025-07-12,2025-07-12,"Pleasantville Music Festival is for lovers of live, world-class rock, food and drinks. There will be a beer & wine garden for the adults, fun activities to keep the kids happy, and a zero-waste program to keep the Earth happy. Plus stuff to buy, charities to learn about, and a warm, positive backyard vibe all combined with world-class headliners, breakout stars and local artists, hand-picked by dedicated music fans.","Pleasantville Music Le festival est destiné aux amateurs de boissons en direct, de classe mondiale, de nourriture et. Il y aura un jardin de bière et de vin pour les adultes, des activités amusantes à garder les enfants heureux, et un programme de déchets zéro pour garder la terre heureuse. Plus des choses à acheter, des organismes de bienfaisance à apprendre, et Une ambiance de arrière-cour chaleureuse et positive combinée avec des têtes d'affiche de classe mondiale, des stars en petits groupes et artistes locaux, sélectionnés à la main par des fans de musique dédiés.",Parkway Field,Pleasantville,New York,1,NY
Reggae On The Way 2025,https://www.musicfestivalwizard.com/festivals/reggae-on-the-way-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/06/Reggae-On-The-Way-2025-Lineup-Poster.jpg,2025-07-12,2025-07-12,"This annual reggae inspired festival showcases a rich tapestry of reggae genres, from roots to dancehall, Hawaiian, and American reggae in the stunning backdrop of the Pacific Northwest.","This Festival annuel inspiré du reggae met en valeur une riche tapisserie de genres de reggae, des racines à dancehall, hawaïen, et reggae américain dans le en arrière-plan étonnant de le Pacifique nord-ouest.",LeMay ACM Haub Field,Tacoma,Washington,1,WA
Rockin’ Thunder Fest 2025,https://www.musicfestivalwizard.com/festivals/rockin-thunder-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Rockin-Thunder-2025-Lineup-Poster.jpg,2025-07-11,2025-07-12,,,Exhibition Lands Racetrack,Edmonton,Alberta,1,AB
Subset Festival 2025,https://www.musicfestivalwizard.com/festivals/subset-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/05/Subset-Festival-2025-Lineup-Poster.png,2025-07-12,2025-07-12,,,Tägi,Wettingen,Switzerland,1,CH
The Peacock Society 2025,https://www.musicfestivalwizard.com/festivals/the-peacock-society-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/03/The_Peacock_Society_Logo.png,2025-07-11,2025-07-12,"One of the most famous electronic festivals in France, The Peacock Society brings 25,000 attendees to the beautiful Parc Floral de Paris.","One de les festivals électroniques les plus célèbres en France, The Peacock La société amène 25 000 participants à The Beautiful Parc Floral de Paris.",Parc Floral de Paris,Paris,France,1,FR
Werchter Boutique 2025,https://www.musicfestivalwizard.com/festivals/werchter-boutique-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/11/Werchter_Boutique.png,2025-07-12,2025-07-12,"Unlike its wilder older sibling (the legendary Rock Werchter Festival), Werchter Boutique is a breath of relaxing fresh air. Only taking place over a single day, this is a festival for connoisseurs who value quality over quantity -- or who simply need a warmup for the massive four-day festival on the horizon.","Contrairement à son frère plus âgé plus sauvage (le légendaire rock Werchter festival), werchter Boutique est une bouffée d'air frais relaxant. Ne se déroulant qu'en une seule journée, il s'agit d'un festival pour les connaisseurs qui apprécient la qualité par rapport à la quantité - ou qui ont simplement besoin d'un échauffement pour le Festival massif de quatre jours sur l'horizon.",Festivalpark,Werchter,Belgium,1,BE
Wobble Coliseum 2025,https://www.musicfestivalwizard.com/festivals/wobble-coliseum-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Wobble-Coliseum-2025-Lineup-Poster.jpg,2025-07-11,2025-07-12,"Wobble Coliseum 4 is Back with Big Gigantic, Zingara, Ganja White Night and more!","Wobble Coliseum 4 est back avec big gigantesque, zingara, ganja blanc nuit et plus!",Hampton Coliseum,Hampton,Virginia,2,VA
A State Of Trance London 2025,https://www.musicfestivalwizard.com/festivals/a-state-of-trance-london-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/A-State-of-Trance-London-2025-Lineup-Poster.jpg,2025-07-13,2025-07-13,,,Silverworks Island,London,United Kingdom,2,UK
Also Festival 2025,https://www.musicfestivalwizard.com/festivals/also-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Also-Festival-Featured-Image.jpg,2025-07-11,2025-07-13,"ALSO is the multi award-winning Warwickshire festival set in a stunning Capability Brown landscape for festival-goers to explore, swim, relax and let ideas run wild. Curious, clever and creative, ALSO collabs with the UK’s best experts, authors and speakers as well as offering a highly curated, exquisitely produced programme of talks, panels, immersive events, comedy, music, wellness and adventures in food.","Est également le Festival multi-primes du Warwickshire se déroulant dans un paysage brun à capacité époustouflante pour les festivaliers pour explorer, nager, se détendre et Laissez les idées se déchaîner. CRIATIF CURIEUX, CLIVERS et, collabore également avec les les meilleurs experts du Royaume-Uni, des auteurs et et offrant un programme de pourparlers, de comédie, de musique, de musique, de bien-être très bien organisée et dans la nourriture.",Park Farm,Warwickshire,United Kingdom,2,UK
Audioriver 2025,https://www.musicfestivalwizard.com/festivals/audioriver-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/04/Audioriver_Logo.jpg,2025-07-11,2025-07-13,"'The three-day Audioriver festival is the perfect event for anyone interested in upfront, quality electronic music. In the past ten years the event has hosted hundreds of artists from all over the world, who have performed either on the picturesque beach or in Plock’s Old Market Square. More than a 175,000 punters from all parts of the World have visited the fest, while the last edition gathered over 25,000 people.'","'Le Le festival Audioriver Audioriver est l'événement parfait pour toute personne intéressée par la musique électronique de qualité. Dans le dix dernières années l'événement a hébergé des centaines d'artistes de partout le monde, qui ont joué soit sur la plage pittoresque ou dans le vieux marché de Plock carré. Plus de 175 000 parieurs de toutes les parties de le monde ont visité le fest, tandis que The la dernière édition a rassemblé plus de 25 000 personnes. '",Łódzkie Błonia,Łódź,Poland,2,PL
Awakenings Summer Festival 2025,https://www.musicfestivalwizard.com/festivals/awakenings-summer-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/01/Awakenings_Logo.jpg,2025-07-11,2025-07-13,"After a successful debut, the epic Awakenings Festival returns with a spectacular, summertime camping experience not to be missed. Featuring the best of European techno and dance artists, this is an incredible introduction into the Dutch festival scene.","Après un début réussi, le Epic awakenings redonne avec une expérience de camping estivale spectaculaire à ne pas manquer. Avec le Best of European Techno and Dance Artists, c'est une introduction incroyable dans la scène du festival néerlandais The.",Hilvarenbeek,Hilvarenbeek,Netherlands,2,NL
Bospop 2025,https://www.musicfestivalwizard.com/festivals/bospop-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2021/12/Bospop-Hero.jpg,2025-07-11,2025-07-13,"Bospop is an old-fashioned cozy pop-rock festival that has existed since 1980. It started as a small-scale festival for amateur bands in particular, but has since grown into a music spectacle with bands of international allure.","Bospop est un festival pop-rock confortable à l'ancienne qui existe depuis 1980. Il a commencé comme un festival à petite échelle pour les groupes amateurs en particulier, mais est devenu depuis un spectacle de musique avec des groupes d'attrait international.",Weert Noord,Weert,Netherlands,2,NL
BRT Roadtrip 2025,https://www.musicfestivalwizard.com/festivals/brt-roadtrip-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/BRT-Weekend-2025-Lineup-Poster.jpg,2025-07-11,2025-07-13,Beach Road Trip Weekend was created in 2012 and is inspired by Caribbean culture.,Beach road trip Weekend a été créé en 2012 et est inspiré par la culture des Caraïbes.,Goldfish Beach Club,Atlantic City,New Jersey,2,NJ
Cactus Festival 2025,https://www.musicfestivalwizard.com/festivals/cactus-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/03/Cactus_Festival_Logo.png,2025-07-11,2025-07-13,"Cactusfestival in Bruges keeps it simple with only a single stage to help fans avoid dreaded schedule conflicts and an intimate experience, only allowing an attendance of 25,000. Focused on rock and alternative music, Cactusfestival has been delivering this intimate vibe since 1982.","Cactusfestival dans Bruges reste simple avec une seule étape pour aider les fans à éviter les conflits de calendrier redoutés et une expérience intime, ne permettant qu'une présence de 25 000. Focus sur la musique alternative rock et, Cactusfestival fournit cette ambiance intime depuis 1982.",Minnewaterpark,Brugge,Belgium,2,BE
Dead of Summer Festival 2025,https://www.musicfestivalwizard.com/festivals/dead-of-summer-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Dead-of-Summer-2025-Lineup-Poster.jpg,2025-07-11,2025-07-13,Calling all hippies! Vermont is the ideal place to celebrate the Grateful Dead and you can enjoy a wonderful camping weekend of jam music and good times.,Appel Tous les hippies! Vermont est le lieu idéal pour célébrer le reconnaissant mort et Vous pouvez profiter d'un merveilleux week-end de camping de la musique de jam et de bons moments.,Hunter Park,Manchester,Vermont,2,VT
Electric Bay 2025,https://www.musicfestivalwizard.com/festivals/electric-bay-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Electric-Bay-Hero.jpg,2025-07-12,2025-07-13,This open air dance music festival hosts two days of dance music and notable production.,This Festival de musique de danse en plein air accueille deux jours de musique de danse et Production notable.,Torre Abbey Meadows,Torquay,United Kingdom,2,UK
Four Winds Music Fest 2025,https://www.musicfestivalwizard.com/festivals/four-winds-music-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Four-Winds-Featured-Image.jpg,2025-07-11,2025-07-13,Four Winds Music Fest is a 3-day music festival showcasing artists from diverse cultural backgrounds and various musical genres. This family-friendly festival takes place at Riverstone Retreat.,Quatre Winds Music Fest est un festival de musique de 3 jours présentant des artistes de divers horizons culturels et divers genres musicaux. This Festival familial a lieu à Riverstone Retreat.,Riverstone Retreat,Durham,Ontario,2,ON
Les Nuits Secrètes 2025,https://www.musicfestivalwizard.com/festivals/les-nuits-secretes-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/10/Les_Nuits_Secretes_Logo.jpg,2025-07-11,2025-07-13,"For three days, the tiny town of Aulnoye-Aymeries (1 hour away from Lille) is filled with 45,000 festies. The secret of this festival? More than 70 concerts and secret shows at one of the most reasonable prices of the summer. Lots of big names for a great price at Secret Nights.","Pour Trois jours, la La petite ville d'Aulnoye-Aymeries (à 1 heure de Lille) est remplie de 45 000 festivités. Le secret de ce festival? Plus de 70 concerts et Secret montre à l'un des prix les plus raisonnables de le. Beaucoup de grands noms à un prix avantageux à secret nuits.",Various Venues,Aulnoye-Aymeries,France,2,FR
Levitate Festival 2025,https://www.musicfestivalwizard.com/festivals/levitate-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/01/Levitate-Logo-e1484826297913.jpg,2025-07-12,2025-07-13,"This grassroots music and arts festival features roots, reggae, folk, rock, and funk. The organizers, a community oriented surf/skate shop, started the festival as an anniversary party in 2013, but it became such a success, it’s now an annual New England event. Held just 30 minutes south of Boston, the festival is an excellent reason to get out of the city for the weekend!","This Musique de base et Arts Festival présente des racines, reggae, folk, rock, et funk. The Organisateurs, une boutique de surf / skate axée sur la communauté, a commencé le festival en tant que fête d'anniversaire en 2013, mais c'est devenu un tel succès, c'est maintenant un événement annuel nouveau en Angleterre. Tenu à seulement 30 minutes au sud de Boston, The Festival est une excellente raison de sortir de la ville la pour le week-end!",Marshfield Fair Grounds,Marshfield,Massachusetts,2,MA
Lollapalooza Berlin 2025,https://www.musicfestivalwizard.com/festivals/lollapalooza-berlin-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/10/Lollapalooza_Logo.jpg,2025-07-12,2025-07-13,"Since its inception in 1991, Lollapalooza has continued to grow from it’s U.S. based festival circuit to additional cities in countries across the globe. As the first European city to host Lollapalooza outside of the U.S., Berlin began its entrance into the Lollapalooza festival tour in 2015, and has since grown to over 70,000 attendees.","Depuis sa création en 1991, lollapalooza a continué de se développer à partir de son circuit de festival basé aux États-Unis vers des villes supplémentaires dans des pays de le globe. Comme le Première ville européenne pour héberger lollapalooza en dehors de the U.S., Berlin a commencé son entrée dans le festival The a depuis grandi au cours de la tournée de 70 000.",Olympiapark Berlin,Berlin,Germany,2,DE
Love Family Park 2025,https://www.musicfestivalwizard.com/festivals/love-family-park-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/12/Love_Family_Park_2016_Logo.jpg,2025-07-12,2025-07-13,"Love Family Park takes place in Rebstockpark. The single day festival is a techno lover's dream with music running from morning until sunset, dipping into all the sub-genres along the way. Huge names lead the lineup, but festies have a chance to see some of the real up and comers of the scene at Love Family Park.","Love famille Park se déroule dans RebstockPark. The Festival en une seule journée est le rêve d'un amant techno avec de la musique allant du matin au coucher du soleil, plongeant dans tout les sous-genres le long de la voie. Énormes noms mènent la gamme, mais les fêtes ont une chance de voir certains des la scène réel et de la scène à Love famille Park.",Rebstockpark,Frankfurt,Germany,2,DE
Mosswood Meltdown 2025,https://www.musicfestivalwizard.com/festivals/mosswood-meltdown-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/11/Vito-Valentinetti-Parkpop-2019-19.jpg,2025-07-12,2025-07-13,"Hosted by filmmaker John Waters, Burger Boogaloo is an eclectic music festival quoted by Waters himself as 'the perfect cult gathering of young and old music rebels who hate everybody in the world except each other.' The festival is hosted at the historic Mosswood Park in Oakland, California and has been on the festival circuit for over a decade.","Hébergé par le cinéaste John Waters, Burger Boogaloo est un festival de musique éclectique cité par Waters lui-même en tant que 'le rassemblement culte parfait de Young and Old Music Rebels qui déteste tout le monde dans le monde sauf les uns les autres.' Le festival est hébergé à The historique Mosswood Park à Oakland, Californie et est sur le circuit de festival le depuis plus d'une décennie.",Mosswood Park,Oakland,California,2,CA
Mostly Jazz Funk & Soul Festival 2025,https://www.musicfestivalwizard.com/festivals/mostly-jazz-funk-soul-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Mostly-Jazz-Funk-Soul-2023-Featured-Image.jpg,2025-07-11,2025-07-13,"'A diverse, vibrant festival, celebrating ground-breaking, innovative UK music alongside international trailblazers. Showcasing unsigned acts right next to well-established international artists makes for a really exciting bill. We’re a festival for all, having one of the most diverse festival crowds with plenty for you to discover.'","«Un festival diversifié et dynamique, célébrant la musique britannique innovante et révolutionnaire aux côtés des pionniers internationaux. Présenter des actes non signés juste à côté d'artistes internationaux bien établis constitue un projet de loi vraiment excitant. Nous sommes un festival pour tous, ayant l'un des le les foules de festival les plus diversifiées avec beaucoup de choses à découvrir.",Moseley Park,Birmingham,United Kingdom,2,UK
North Atlantic Blues Festival 2025,https://www.musicfestivalwizard.com/festivals/north-atlantic-blues-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/01/North-Atlantic-Blues-Festival-Logo.jpg,2025-07-12,2025-07-13,"The North Atlantic Blues Festival is an annual two-day blues music festival featuring national blues performers and considered one of the most prestigious on the East Coast. The festival is held at the Public Landing in Rockland, Maine, overlooking the picturesque Rockland Harbor.","The North atlantic blues Le festival est un festival de musique blues annuel de deux jours avec des interprètes de blues nationaux et considérés comme l'un des les plus prestigieux sur le east. Le festival se déroule à le Public Landing en Rockland, Maine, donnant sur le port le pittoresque Rockland.",Public Landing,Rockland,Maine,2,ME
North Sea Jazz Festival 2025,https://www.musicfestivalwizard.com/festivals/north-sea-jazz-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/03/North_Sea_Jazz_Festival_Logo.jpg,2025-07-11,2025-07-13,"Since 1976, the North Sea Jazz Festival has been entertaining The Netherlands with jazz legends and Dutch artists. 75,000 attendees gather in Rotterdam to more than 1,000 musicians and 150 performances over 15 states. The diverse amount of music means that there's something for everyone in this wildly diverse selection of artists.","Depuis 1976, The North Sea Jazz Festival a été divertissant The Pays-Bas avec des légendes du jazz et artistes néerlandais. 75 000 participants se réunissent à Rotterdam à plus de 1 000 musiciens et 150 performances sur 15 États. La quantité de musique diversifiée signifie qu'il y a quelque chose pour tout le monde dans cette sélection follement diversifiée d'artistes.",Ahoy Rotterdam,Rotterdam,Netherlands,2,NL
Northwest Tune-Up Festival 2025,https://www.musicfestivalwizard.com/festivals/northwest-tune-up-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/10/Northwest-TuneUP-Hero.jpg,2025-07-11,2025-07-13,"The Northwest Tune-Up is a bike, beer and music festival held in celebration of PNW culture. This three-day event showcases the beauty of the region and everything it has to offer. Whether exploring world-class mountain bike singletrack, enjoying each evening’s lineup of live music on Bellingham’s waterfront or indulging in the best beers from across the Northwest, the Tune-Up has something for everyone.","The Northwest Tune-Up est un Festival de musique à vélo et organisé pour célébrer la culture PNW. This L'événement de trois jours met en valeur la beauté de la région et tout ce qu'il a à offrir. Que ce soit d'explorer le singletrack du vélo de montagne de classe mondiale, de profiter de la gamme de musique live de chaque soir sur le front de mer de Bellingham ou de se livrer à les bières de partout le Northwest, le le mélogation a quelque chose pour tout le monde.",Waypoint Park,Bellingham,Washington,3,WA
Oregon Country Fair 2025,https://www.musicfestivalwizard.com/festivals/oregon-country-fair-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/03/Oregon-Country-Fair-Logo.jpg,2025-07-11,2025-07-13,"The Oregon Country Fair creates events and experiences that nourish the spirit, explore living artfully and authentically on earth, and transform culture in magical, joyous and healthy ways. Started in 1969 as a benefit for an alternative school, the OCF has a rich and varied history of alternative arts and performance promotion, educational opportunities, land stewardship and philanthropy.","Le Oregon Country Fair crée des événements et expériences qui nourrissent le Esprit, explorez la culture vivant et authentiquement sur Terre, et transformée la culture dans la culture magique, joyeuse et. Démarré en 1969 comme un avantage pour une école alternative, l'Ocf a un riche et Historique varié des arts alternatifs et Promotion de performance, possibilités éducatives, gérance foncière et philanthropie.",Oregon Country Fair Grounds,Veneta,Oregon,3,OR
Ostend Beach Festival 2025,https://www.musicfestivalwizard.com/festivals/ostend-beach-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/10/Ostend_Beach_Festival_Logo.png,2025-07-12,2025-07-13,"Celebrating ten years as one of Belgium's premier electronic festivals, Ostend Beach is set against the coastline with plenty of sandy space for dancing your face off. Nearly 80 acts will compete for your attention over this three day seaside festival.","Célébrant dix ans comme l'un des premiers festivals électroniques de la Belgique, Ostend Beach se déroule contre le littoral avec beaucoup d'espace sablonneux pour danser votre visage. Près de 80 actes s'affronteront pour votre attention sur ce festival en bord de mer de trois jours.",Klein Strand,Ostend,Belgium,3,BE
Rockwave Festival 2025,https://www.musicfestivalwizard.com/festivals/rockwave-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2012/02/Rockwave_Festival_Logo.png,2025-07-13,2025-07-13,"Rockwave Festival is music, dance, headbanging, air-guitar, amplifiers, mics, but above all, Rockwave Festival is the moments and memories fans make. It's also an open-air camping festival that takes place right outside of Athens.","Rockwave Le festival est de la musique, de la danse, du cordage, de la guitare aérienne, des amplificateurs, des micros, mais surtout, rockwave festival est les moments et Mémoires que les fans font. C'est aussi un festival de camping en plein air qui se déroule juste à l'extérieur d'Athènes.",Terra Vibe Park,Oropos,Greece,3,GR
Sound And Fury 2025,https://www.musicfestivalwizard.com/festivals/sound-and-fury-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/03/Sound-and-Fury-Featured-Image.jpg,2025-07-12,2025-07-13,"Sound and Fury Festival is a high-energy hardcore and punk music festival held annually in Los Angeles. It showcases both legendary and emerging bands from the underground scene. Known for intense live sets and a passionate crowd, it’s a staple event for hardcore fans.","Sound et Fury Festival est un festival hardcore à haute énergie et Punk Music Festival tenu chaque année à Los Angeles. Il met en valeur à la fois des bandes émergentes légendaires et de la scène underground The. Connu pour ses ensembles en direct intenses et une foule passionnée, c'est un événement de base pour les fans hardcore.",Exposition Park,Los Angeles,California,3,CA
Square Roots Festival 2025,https://www.musicfestivalwizard.com/festivals/square-roots-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Square-Roots-Logo-2.jpg,2025-07-11,2025-07-13,"Square Roots Festival brings together the community of Lincoln Square, Chicago, and beyond, with a lineup of live music, family fun, local restaurants, vendors, and a craft beer showcase.","Square Roots Festival rassemble la communauté de Lincoln Square, Chicago, et au-delà, avec une gamme de musique en direct, un plaisir familial, des restaurants locaux, des fournisseurs, et une vitrine en famille.",Lincoln Square,Chicago,Illinois,3,IL
Stone Techno Festival 2025,https://www.musicfestivalwizard.com/festivals/stone-techno-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/05/Stone-Techno-Festival-2025-Lineup-Poster.png,2025-07-11,2025-07-13,,,UNESCO World Heritage Zollverein,Essen,Germany,3,DE
